nazwa,typ_bez,ipz_zab,prad_zw_zab,ipz_obl,obl_pr_zwarc,ocena,id,"datetime.date(yyyy, mm, dd)",deleted
dksd ,B12,3.83Ω,60A,21Ω,11A,NIE,a8c1e108-64b8-4d56-9f1d-6d3e0a8d1109,2025-02-25,nd
xkamek ,B12,3.83Ω,60A,21Ω,11A,NIE,55340b09-5270-45a1-9ace-cbfddec6009f,2025-02-25,del
kdmwk ,B21,2.19Ω,105A,32Ω,7A,NIE,eeb4c3ae-abdf-44d3-aa5a-9af355815d4d,2025-03-01,nd
kmk34 ,B12,3.83Ω,60A,12Ω,19A,NIE,a0c500e3-a04d-4642-9105-67adeb075f6e,2025-03-12,nd
lxem ,B12,3.83Ω,60A,11Ω,21A,NIE,163cabd1-441d-42a5-910c-9bf2c47c2a49,2025-03-12,del
 ked ,B12,3.83Ω,60A,12Ω,19A,NIE,3e7c22d5-535d-4683-a71b-cba939c87fa1,2025-03-12,nd
k ,B12,3.83Ω,60A,21Ω,11A,NIE,fd539317-1d12-4578-82cf-65a4022eedac,2025-03-12,nd
kmxekw ,A12,6.39Ω,36A,12Ω,19A,NIE,7d55170c-59ba-4c69-8cd7-df7e0b3c2371,2025-03-12,del
ssd ,A22,3.48Ω,66A,222Ω,1A,NIE,bfcac367-f8e4-45e2-829f-f4e74e3fd658,2025-03-12,nd
vrk ,A12,6.39Ω,36A,12Ω,19A,NIE,9da815b4-03da-4f79-a67b-a218e9a5198e,2025-03-12,nd
21 ,B12,3.83Ω,60A,1Ω,230A,TAK,c96c4928-7a90-4371-b031-c1731c690b52,2025-03-12,del
11 ,A12,6.39Ω,36A,32Ω,7A,NIE,deae178f-2634-4355-8f8e-ba44a89ec73b,2025-03-12,nd
kmkd ,A12,6.39Ω,36A,11Ω,21A,NIE,7ba92c49-4452-4ae1-b203-b788ecc9f7e3,2025-03-12,del
mkex ,A12,6.39Ω,36A,12Ω,19A,NIE,9255de5f-0348-4dbe-9f7e-e0ab089ab92b,2025-03-12,del
k ,A12,6.39Ω,36A,1Ω,230A,TAK,8fac073f-d86c-4883-9873-e8a86a48810b,2025-03-12,del
dkcd ,A32,2.4Ω,96A,21Ω,11A,NIE,2ce4dc49-8ee1-422d-bc05-d62c7037dca0,2025-03-12,del
aaaapppbb ,B12,3.83Ω,60A,21Ω,11A,NIE,f1280628-2171-42a6-9dc0-f120ec5b6ac0,2025-03-12,del
